year,Non-oil Exports,Non-oil Imports,Oil Exports,Oil Imports,Re-exports,Total Exports,Total Imports,Trade Exchange,Trade Balance
2010,1727.34,3813.871516079021,4325.8688422,2514.17177644,229.14,6282.3488422,6328.043292519022,12610.392134719024,-45.6944503190216
2011,2295.5139522723302,3825.3812820739895,5824.586941592,3208.8,342.27553405850256,8462.376427922833,7034.18128207399,15496.55770999682,1428.195145848843
2012,2099.743571,4095.15,5838.511779736,3358.00769716,432.32,8370.575350736,7453.157697160001,15823.733047896,917.4176535759998
2013,2515.23496044768,3773.8770428234775,5857.0,3190.81282056,855.488457284326,9227.723417732006,6964.689863383477,16192.413281115483,2263.033554348529
2014,2396.8811288964835,4611.513976769191,5559.06335484,2797.462583688,772.2547455145008,8728.199229250984,7408.976560457191,16137.175789708175,1319.2226687937928
2015,1954.0,4683.83361949983,2967.186581424,1478.80705624,1355.2732570222072,6276.459838446207,6162.64067573983,12439.100514186037,113.81916270637703
2016,1801.6756913701463,4362.016301921418,2337.9617602800004,1183.435196032,718.6468602828149,4858.284311932963,5545.451497953418,10403.73580988638,-687.1671860204551
2017,2093.407524133265,4942.669603901668,3218.966525936,1596.313986296,525.3043488577102,5837.678398926975,6538.983590197668,12376.661989124645,-701.3051912706924
2018,2286.294038082743,5593.844003161979,3983.497855,2150.842074416,514.6974011692475,6784.489294251991,7744.686077577979,14529.17537182997,-960.1967833259878
2019,2297.68508301337,4984.103641306579,3719.59837107048,2005.377770768,794.872634724511,6812.156088808361,6989.48141207458,13801.637500882942,-177.32532326621822
2020,2387.171545,4797.605699,2232.861624,1043.94809031,675.723917,5295.7570860000005,5841.55378931,11137.31087531,-545.7967033099994
2021,3993.603143,5315.807652152831,3737.54214875848,1782.4373484879998,679.440672,8410.58596375848,7098.245000640831,15508.83096439931,1312.3409631176492
2022,4966.768646,5841.9,5665.9,2995.030665,720.238844,11352.90749,8836.930665,20189.838155,2515.9768249999997
2023,3909.2,5777.9,4664.9,2436.7397,755.8,9329.899999999998,8214.6397,17544.539699999998,1115.260299999998
