flow,year,commodity,hs_chapter,value_bd
Export,2023,"( L ) Sections, Partailly-Worked, Under 80 Mm High",72,2619.987
Export,2023,"( T , L ) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",72,176.318
Export,2023,"( U, I , H ) Sections, Partially-Worked, Under 80 Mm High",72,63126746.099
Export,2023,"(H) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",72,406.167
Export,2023,"(H) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",72,560.0
Export,2023,"(Headgear(Ghuttra) Printed In Form Of Shimagh, Not Embroidered",65,92.68
Export,2023,"(I) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",72,48.699
Export,2023,"(U) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",72,8075.742
Export,2023,"1,1,1,2-Tetrafluoroethane (Hfc-134A) And 1,1,2,2-Tetrafluoroethane (Hfc-134)",29,836.9570000000001
Export,2023,2 Almanisiom,25,12827.423
Export,2023,"2,2'-Oxydiethanol",29,396704.0
Export,2023,Abayas  85 Percent Or More Combed Wool Over 200 G/M2,51,4873.0
Export,2023,Abayas  Of Wool Or Fine Animal Hair,58,2240.1
Export,2023,Abrasive Grain On A Base Of Other Materials,68,20988.390000000003
Export,2023,Abrasive Grain On A Base Of Paper Or Paperboard Only,68,19537.038
Export,2023,Abrasive Grain On A Base Of Woven Textile Fabric Only,68,71360.754
Export,2023,Ac Generators Not Exceeding 75 Kva Output,85,8419.589
Export,2023,Ac Generators Over 375 Kva To 750 Kva Output,85,54059.520000000004
Export,2023,Ac Generators With Output Over 75 Kva To 375 Kva,85,14800.0
Export,2023,Ac Generators With Output Over 750 Kva,85,40317.151999999995
Export,2023,Acetic Acid Denatured And Unusable As Vinegar,29,16.32
Export,2023,Acetone,29,77.435
Export,2023,Acetylene Gas,29,2224.267
Export,2023,Acrylic Mixed Mainly With Other Fabrics,55,9.94
Export,2023,"Acrylic Or Modacrylic Fibers, Not For Spinning",55,926.039
Export,2023,Activated Carbon,38,781.5
Export,2023,"Activated Coal For Deodorizing Refrigerators, Etc.",33,1440.0
Export,2023,Active Ethyl Alcohol For Medical Uses,22,1435.0
Export,2023,Active Yeasts,21,304.51
Export,2023,"Adapters, Wether Or Not Incorporating A Slot For  Usb Or The Like.",85,7402.448
Export,2023,Additives Containing Petroleum Oils For Lubrication,38,2142.1980000000003
Export,2023,"Address-Plates For Doors, Mail Boxes And The Like",83,1397.15
Export,2023,Adhesive Dressings And Other Articles,30,68201.121
Export,2023,Adhesive Plasters For Repairing Tires And Tubes,40,41448.636
Export,2023,Adhesive Tape Of A Width Not Exceeding 20 Cm,59,6322.803
Export,2023,Adhesives Based On Polymers Of Heading 39.01 To 39.13 Or On Rubber,35,248865.198
Export,2023,Adjustable Spanners And Wrenches,82,67511.919
Export,2023,"Advertisement Boards, Signboards, Road Signs, Wood",44,6276.436
Export,2023,Aerated Waters,22,86246.687
Export,2023,"Aerated Waters (Soda), Flavored Or Sweetened",22,13560.64
Export,2023,"Aerated Waters, Flavored Or Sweetened",22,89005.396
Export,2023,"Aerials And Aerial Reflectors Of All Kinds,Parts Suitable For Use Therewith",85,94008.448
Export,2023,Agar-Agar,13,20189.83
Export,2023,Agglomerated Iron Ores And Concentrates,26,688595673.727
Export,2023,Air Compressors On A Wheeled Chassis For Towing,84,206292.648
Export,2023,"Air Conditioning Machines Of A Capacity 70,000 Btu Or Less  , Window Or Wall Types, Self-Contained",84,9420764.848000001
Export,2023,"Air Conditioning Machines Of A Capacity Exceeding 70,000 Btu  , Window Or Wall Types, Self-Contained",84,7944.091
Export,2023,"Air Conditioning Of Akind Used For Persons, In Motor Vehicles",84,261.176
Export,2023,Air-Moistening And Air-Drying Equipment,84,976.368
Export,2023,"Aircraft Engines, Spark Or Rotary",84,682187.21
Export,2023,Alarms And Sound Signalling Apparatus,85,4183.659
Export,2023,Albums For Samples Or For Collections,48,2209.618
Export,2023,Alkyd Resins,39,2707.783
Export,2023,All Types Of Sweetmeats And The Like For Diabetics,21,43008.97700000001
Export,2023,"Almond Candy, Pistachio Candy And The Like",17,64046.86400000004
Export,2023,Almonds Roasted Whether Or Not Salted,20,4572.152
Export,2023,Almonds Shelled,08,5492.686
Export,2023,Aloes Essence,33,11632.64
Export,2023,"Alpha, Beta Or Gamma Apparatus For Other Use",90,8087.622
Export,2023,"Aluminium ,Portable Ladders",76,26012.275
Export,2023,Aluminium Alloys Flattened Or Grained Coils And Strips Of A Thickness Exceeding 0.4 Mm But Not Exceeding 8 Mm,76,83389869.16
Export,2023,Aluminium Containers For Gas 100 L And Less,76,3909.093
Export,2023,Aluminium Foil Rolled Not Backed Put Up For Retail Sale,76,70502.107
Export,2023,"Aluminium Foil, Rolled, Put For Retail Sale  Backed",76,43548.965
Export,2023,"Aluminium Foil, Rolled, Put Up For Retail",76,17887.343
Export,2023,Aluminium Hydroxide,28,3581.291
Export,2023,Aluminium Tube Or Pipe Fittings,76,4368.682
Export,2023,Aluminium Waste And Scrap,76,5195338.073
Export,2023,Aluminous Cement,25,15.0
Export,2023,"Aluminum Electric Wire With Steel Core, Not Insulated",76,55350930.661
Export,2023,"Aluminum Reservoirs, Tanks And The Like, Over 300 L",76,11274.824
Export,2023,"Aluminum Wire, Alloyed, Over 7 Mm Thick",76,34797575.264
Export,2023,"Aluminum Wire, Not Alloyed, Over 7 Mm Thick",76,223504076.85
Export,2023,Amalgams (Other Than Amalgams Of Precious Metals Of Heading 28.43),28,33.488
Export,2023,Ammonia In Aqueous Solution,28,4337945.938
