flow,year,country_name,value_bd
Export,2023,Albania,5455510.226
Export,2023,Algeria,112232550.528
Export,2023,Angola,1322682.675
Export,2023,Argentina,135046.545
Export,2023,Armenia,101361.821
Export,2023,Australia,46964061.981
Export,2023,Austria,12887202.76
Export,2023,Azerbaijan,63297.574
Export,2023,Bangladesh,6465716.302999999
Export,2023,Barbados,3416.138
Export,2023,Belgium,8548322.454
Export,2023,Benin (Dahomey),55477.115999999995
Export,2023,Bosnia & Herzegovina,9960.035
Export,2023,Botswana,7753.285
Export,2023,Brazil,51534352.052
Export,2023,Brunei,900.0
Export,2023,Bulgaria,13113760.516
Export,2023,Cambodia,331089.346
Export,2023,Cameroon,56722.678
Export,2023,Canada,10125494.076
Export,2023,Chad,204642.03999999998
Export,2023,Chile,1070631.496
Export,2023,China,13295432.442
Export,2023,Colombia,10996283.876
Export,2023,Costa Rica,1394859.9270000001
Export,2023,Countries And Territories Not Specified For Commercial Or Military Reasons,18906754.262000002
Export,2023,Croatia,446224.494
Export,2023,Cyprus,454432.087
Export,2023,Czech Republic,8888770.723
Export,2023,Democratic Republic Of Congo,11699.135
Export,2023,Denmark,7617993.748000001
Export,2023,Djibouti,427190.283
Export,2023,Dominican Republic,495633.794
Export,2023,Duty Free & Warehouse,10117674.587000003
Export,2023,Ecuador,5042995.0479999995
Export,2023,Egypt,172209507.463
Export,2023,El Salvador,2275943.491
Export,2023,Eritrea,2041.18
Export,2023,Estonia,112365.425
Export,2023,Ethiopia,1599773.1539999999
Export,2023,Fiji,22037.745000000003
Export,2023,Finland,1730496.2680000002
Export,2023,Fr Polynesia,50137.239
Export,2023,France,40682950.152
Export,2023,Free Zone Jabal Ali,697578.792
Export,2023,Free Zone Oman,20484.634
Export,2023,Gabon,35742.791
Export,2023,Gambia,6365.171
Export,2023,Georgia,141041.829
Export,2023,Germany,56271980.44
Export,2023,Ghana,800925.189
Export,2023,Greece,27769367.714999996
Export,2023,Guatemala,129.375
Export,2023,Guinea,57502.03200000001
Export,2023,Guyana,79698.577
Export,2023,Hong Kong,31963818.395
Export,2023,Hungary,4775026.22
Export,2023,India,145829977.932
Export,2023,Indonesia,13630385.043
Export,2023,Iran,131091.802
Export,2023,Iraq,15416412.946999999
Export,2023,Ireland,5341234.543
Export,2023,Israel,3034739.9529999997
Export,2023,Italy,95779571.236
Export,2023,Ivory Coast,470369.112
Export,2023,Jamaica,250.0
Export,2023,Japan,50462911.971
Export,2023,Jordan,30626606.875
Export,2023,Kazakhstan,36437.36
Export,2023,Kenya,3816667.62
Export,2023,Kuwait,118410977.396
Export,2023,Latvia,9187.66
Export,2023,Lebanon,3726823.671
Export,2023,Liberia,93233.732
Export,2023,Libya,57878822.515
Export,2023,Liechtenstein,15.765
Export,2023,Lithuania,1430562.639
Export,2023,Luxembourg,20335349.359
Export,2023,Macau,91739.82800000001
Export,2023,Madagascar,15061.856
Export,2023,Malawi,28247.581
Export,2023,Malaysia,71274258.838
Export,2023,Maldive Islands,10855.385
Export,2023,Malta,48404.35400000001
Export,2023,Mauritania,37532.057
Export,2023,Mauritius,4553395.823
Export,2023,Mexico,43136191.7
Export,2023,Monaco,8706.968
Export,2023,Montenegro,2487477.127
Export,2023,Morocco,71810896.215
Export,2023,Mozambique,1861163.94
Export,2023,Myanmar,2765367.03
Export,2023,Nepal,100639.276
Export,2023,Netherlands,202978666.064
Export,2023,New Zealand,4998825.513
Export,2023,Nicaragua,11519.361
Export,2023,Niger,599995.627
Export,2023,Nigeria,7956317.038
Export,2023,Norway,3775452.1489999997
Export,2023,Pakistan,5144266.192
Export,2023,Palestine,2710227.262
Export,2023,Panama,67205.432
Export,2023,Paraguay,2139367.064
Export,2023,Peru,94889.339
Export,2023,Philippines,3309614.833
Export,2023,Poland,25519544.009
Export,2023,Portugal,851916.071
Export,2023,Qatar,27036813.971
Export,2023,Repablic Of Congo,256722.72
Export,2023,Republic Of Korea,89910408.76799999
Export,2023,Republic Of Moldova,384655.551
Export,2023,Returned Bahrain Goods,685393.5880000001
Export,2023,Romania,1182010.007
Export,2023,Russian Federation,479197.266
Export,2023,Rwanda,6067.69
Export,2023,Saint Lucia,11490.027
Export,2023,Saudi Arabia,1095597328.4450002
Export,2023,Senegal,2899883.885
Export,2023,Serbia,129526.07100000001
Export,2023,Seychelles,81127.513
Export,2023,Singapore,59931082.551
Export,2023,Slovakia,2757831.2199999997
Export,2023,Slovenia,4270167.643
Export,2023,Somalia,281308.838
Export,2023,South Africa,47141103.76
Export,2023,Spain,78545765.445
Export,2023,Sri Lanka,3267434.522
Export,2023,Sudan,1091896.0729999999
Export,2023,Sultanate Oman,142983757.875
Export,2023,Supply Of Ships And Aircrafts,19197994.705999993
Export,2023,Sweden,5204032.651
Export,2023,Switzerland,14397230.188
Export,2023,Syria,462082.62
Export,2023,Taiwan,44840928.505
Export,2023,Tanzania,2516865.88
Export,2023,Thailand,49591888.816
Export,2023,Togo,52128.558
Export,2023,Tunisia,16990960.173
Export,2023,Turkey,138881343.587
Export,2023,Turkmenistan,3941.893
Export,2023,Uganda,31552.136
Export,2023,Ukraine,21674.381
Export,2023,United Arab Emirates,666018656.8709999
Export,2023,United Kingdom,24261961.016
Export,2023,United States Of America,390818348.9302
Export,2023,Uruguay,153545.243
Export,2023,Uzbekistan,243918.80999999997
Export,2023,Vietnam,4978853.766
Export,2023,Yemen,12487822.227
Export,2023,Zambia,256.111
Export,2024,Albania,7985420.806
Export,2024,Algeria,133145903.813
Export,2024,Angola,1883368.0150000001
Export,2024,Anguilla,184724.64000000007
Export,2024,Argentina,85055.341
Export,2024,Armenia,1471834.423
Export,2024,Australia,42122205.513
Export,2024,Austria,912443.699
Export,2024,Azerbaijan,6759.882
