flow,year,month_num,value_bd
Export,2023,1,414635862.542
Export,2023,2,349771401.963
Export,2023,3,426284793.12200004
Export,2023,4,370084414.46900004
Export,2023,5,431206361.044
Export,2023,6,345729744.096
Export,2023,7,373675620.40819997
Export,2023,8,394951890.436
Export,2023,9,358536908.447
Export,2023,10,417142080.652
Export,2023,11,372211826.371
Export,2023,12,410796239.338
Export,2024,1,417118144.44829
Export,2024,2,399568665.00200003
Export,2024,3,407077508.257
Export,2024,4,354836785.375
Export,2024,5,367092229.997
Export,2024,6,378034401.30838996
Export,2024,7,397617550.375
Export,2024,8,357690826.08
Export,2024,9,389269131.20686
Export,2024,10,390697629.335
Export,2024,11,384595970.6704
Export,2024,12,438749780.93500006
Import,2023,1,465422937.981
Import,2023,2,434867356.71
Import,2023,3,530868555.771
Import,2023,4,522554152.012
Import,2023,5,474596984.101
Import,2023,6,471699908.55300003
Import,2023,7,441425938.865
Import,2023,8,533941427.716
Import,2023,9,426828463.2929
Import,2023,10,560550965.4300001
Import,2023,11,454414360.59299994
Import,2023,12,460765026.02
Import,2024,1,534753771.73
Import,2024,2,475048466.07
Import,2024,3,487357650.0
Import,2024,4,480613255.55
Import,2024,5,465830811.26
Import,2024,6,464238880.86
Import,2024,7,463796702.63
Import,2024,8,493895356.107
Import,2024,9,515673693.66468
Import,2024,10,462501129.79
Import,2024,11,477713472.03000003
Import,2024,12,550947146.731
