commodity,value_bd
"( L ) Sections, Partailly-Worked, Under 80 Mm High",3325.654
"( T , L ) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",4211.0
"( U, I , H ) Sections, Partially-Worked, Under 80 Mm High",42862699.226
"(H) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",27119.72
"(H) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",3176.4120000000003
"(Headgear(Ghuttra) Printed In Form Of Shimagh, Not Embroidered",3169.129
"(I) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",11942.334
0Henolic Resins,11752.965
"1,1,1,2-Tetrafluoroethane (Hfc-134A) And 1,1,2,2-Tetrafluoroethane (Hfc-134)",285.592
"2,2'-Oxydiethanol",197274.0
"2,4,6  -Tripropyl - 1,3,5,2,4,6, Trioxa Triphosphinan (In A Solvent).",15.043
Abayas  85 Percent Or More Combed Wool Over 200 G/M2,45.13
Abrasive Grain On A Base Of Other Materials,4399.551
Abrasive Grain On A Base Of Paper Or Paperboard Only,27674.25
Abrasive Grain On A Base Of Woven Textile Fabric Only,44643.755
Ac Generators Not Exceeding 75 Kva Output,74107.303
Ac Generators Over 375 Kva To 750 Kva Output,30650.886000000002
Ac Generators With Output Over 75 Kva To 375 Kva,28868.299
Ac Generators With Output Over 750 Kva,47542.794
Acetic Acid Denatured And Unusable As Vinegar,2.256
Acetylene Phenyl,134.532
Acid Dyes And Preparations Based Thereon,8547.569
Acrylic Or Modacrylic Synthetic Filament Tow,0.451
Acrylonitrile-Butadiene-Styrene (Abs) Copolymers,332.0
Activated Carbon,2160.445
Active Yeasts,539.5219999999999
"Adapters, Wether Or Not Incorporating A Slot For  Usb Or The Like.",43614.717
Additives Containing Petroleum Oils For Lubrication,11673.564
Additives For Hardening Varnishes Or Glues,150.0
"Address-Plates For Doors, Mail Boxes And The Like",389.136
Adhesive Dressings And Other Articles,68597.813
Adhesive Plasters For Repairing Tires And Tubes,6794.802
Adhesive Tape Of A Width Not Exceeding 20 Cm,6419.576
Adhesives Based On Polymers Of Heading 39.01 To 39.13 Or On Rubber,238179.86000000002
Adjustable Spanners And Wrenches,73787.43500000001
"Advertisement Boards, Signboards, Road Signs, Wood",1100.669
Aerated Waters,175183.344
"Aerated Waters (Soda), Flavored Or Sweetened",36818.341
"Aerated Waters, Flavored Or Sweetened",259615.44700000001
"Aerials And Aerial Reflectors Of All Kinds,Parts Suitable For Use Therewith",45859.777
Agar-Agar,36359.8
Agglomerated Iron Ores And Concentrates,666387565.288
Air Compressors On A Wheeled Chassis For Towing,555508.383
"Air Conditioning Machines Of A Capacity 70,000 Btu Or Less  , Window Or Wall Types, Self-Contained",2223253.789
"Air Conditioning Machines Of A Capacity Exceeding 70,000 Btu  , Window Or Wall Types, Self-Contained",5584.11
"Air Conditioning Of Akind Used For Persons, In Motor Vehicles",1184.7369999999999
Air-Moistening And Air-Drying Equipment,6763.4800000000005
Aircraft Over 15000 Kg,1466715.9
Alarms And Sound Signalling Apparatus,22182.966
Albums For Samples Or For Collections,3080.708
Alkyd Resins,31.14
All Types Of Sweetmeats And The Like For Diabetics,35467.384000000005
"Almond Candy, Pistachio Candy And The Like",30822.127000000008
Almonds Roasted Whether Or Not Salted,2955.779
Almonds Shelled,39287.886000000006
"Alpha, Beta Or Gamma Apparatus For Other Use",215.543
"Aluminium ,Portable Ladders",59447.999
Aluminium Alloys Flattened Or Grained Coils And Strips Of A Thickness Exceeding 0.4 Mm But Not Exceeding 8 Mm,88725378.46124001
Aluminium Containers For Gas 100 L And Less,2107.926
"Aluminium Curtains (Blinds, Venetian)",744.64
Aluminium Electrolytic Fixed Capacitors,1825.385
Aluminium Foil Rolled Not Backed Put Up For Retail Sale,90447.216
"Aluminium Foil, Rolled, Put For Retail Sale  Backed",36.0
"Aluminium Foil, Rolled, Put Up For Retail",1025.927
Aluminium Tube Or Pipe Fittings,3672.052
Aluminium Waste And Scrap,4166803.259
Aluminous Cement,8483.708
"Aluminum Electric Wire With Steel Core, Not Insulated",62289590.547
"Aluminum Reservoirs, Tanks And The Like, Over 300 L",2132.835
"Aluminum Wire, Alloyed, Over 7 Mm Thick",51152365.798
"Aluminum Wire, Not Alloyed, Over 7 Mm Thick",201218673.612
Alums,4.0
Ammonia In Aqueous Solution,3653218.1149999998
Amplifiers,287.937
Ampoules Of Glass,452.0
"Anchors, Grapnels And Parts, Of Iron Or Steel",30565.544
Angles And Joints For Stamps And Photographs,97.34
"Angles, Shapes And Sections Of Iron And Steel",12218271.121000001
"Angles, Shapes And Sections Of Stainless Steel",555.434
"Angles, Shapes And Sections, Not Further Worked Than Coldformed Or Cold-Finished Obtained From Flat-Rolled Products",6555.543
"Angles, Shapes And Sections, Of Steel",5838.914000000001
