country_name,value_bd
Albania,7985420.806
Algeria,133145903.813
Angola,1883368.0150000001
Anguilla,184724.64000000007
Argentina,85055.341
Armenia,1471834.423
Australia,42122205.513
Austria,912443.699
Azerbaijan,6759.882
Bangladesh,2192046.536
Belgium,38894642.011
Bosnia & Herzegovina,5818.518
Brazil,61310587.483
Brunei,354.419
Bulgaria,14815757.595
Cambodia,775704.635
Cameroon,7519798.741
Canada,22069018.511
Chad,485499.33
Chile,104372.94
China,29822518.72
Colombia,11082640.169
Costa Rica,320452.163
Countries And Territories Not Specified For Commercial Or Military Reasons,14286996.846
Croatia,1756946.9949999999
Cyprus,151267.176
Czech Republic,2567723.06
Democratic Republic Of Congo,28616.684
Denmark,2642542.319
Djibouti,320936.916
Dominican Republic,408756.50299999997
Duty Free & Warehouse,12583032.044
Ecuador,10396024.155
Egypt,133405527.045
El Salvador,2014216.6570000001
Eritrea,7615.265
Estonia,19779.008
Ethiopia,392409.937
Fiji,61265.737
Finland,1463359.138
France,30389790.565000005
Free Zone Jabal Ali,308711.88800000004
Gabon,439158.082
Georgia,122015.37
Germany,23539132.993
Ghana,367522.69899999996
Greece,77662790.369
Guinea,67189.74399999999
Guyana,114346.162
Hong Kong,19576749.651
Hungary,832163.069
Iceland,3719.441
India,160958371.372
Indonesia,11004621.572
Iran,279036.349
Iraq,22173198.119
Ireland,1065599.618
Israel,196471.416
Italy,126466803.77499999
Ivory Coast,273936.638
Jamaica,5.265
Japan,60202505.516
Jordan,40221418.129
Kenya,2313473.897
Kuwait,97641339.749
Kyrgyzstan,1486.498
Latvia,3548.709
Lebanon,4601166.692
Liberia,31250.732
Libya,29963480.564000003
Lithuania,1659445.077
Luxembourg,7612714.303
Macau,1686.982
Madagascar,16229.812999999998
Malaysia,35675351.602
Maldive Islands,29396.738
Malta,59700.145000000004
Mauritania,13663.023
Mauritius,4268026.536
Mayotte,9424.29
Mexico,59437908.721
Monaco,1694.808
Montenegro,2895178.452
Morocco,81096942.202
Mozambique,209913.45
Myanmar,131.628
Namibia,54189.51
Nepal,4692742.088
Netherlands,216534276.174
New Zealand,3910752.1130000004
Nicaragua,19294.836
Niger,286709.393
Nigeria,3725112.876
Norway,1303639.037
Pakistan,12088674.59
Palestine,2710275.255
Panama,30381.386
Paraguay,3142410.79184
Peru,467789.81799999997
Philippines,2735596.455
Poland,16969736.658999998
Portugal,29330.781000000003
Qatar,127982267.66284
Repablic Of Congo,118960.53199999999
Republic Of Korea,100746953.634
Republic Of Moldova,16228.377
Returned Bahrain Goods,225407.087
Romania,903708.296
Russian Federation,814734.048
Rwanda,250.0
Saint Lucia,8664.906
San Marino,65.806
Saudi Arabia,1082797092.12642
Senegal,4631132.795
Serbia,12791.021999999999
Seychelles,174756.072
Singapore,40777888.891
Slovakia,140034.778
Slovenia,524395.519
Somalia,1836735.2570000002
South Africa,17410815.421
South Sudan,2034.598
Spain,108416933.16
Sri Lanka,12596191.452
Sudan,2967402.826
Sultanate Oman,88788940.65068
Supply Of Ships And Aircrafts,12755834.87956
Sweden,2710263.242
Switzerland,6635768.85
Syria,282064.91000000003
Taiwan,24018541.814
Tanzania,6149581.595000001
Thailand,61714506.17
Togo,55100.522000000004
Tunisia,23433028.017
Turkey,82760571.43829
Turkmenistan,136815.26
Uganda,21344.856
Ukraine,135969.336
United Arab Emirates,655516113.07892
United Kingdom,39539454.809999995
United States Of America,431611659.31639
Uruguay,895.073
Venezuela,10000.0
Vietnam,4682134.599
Yemen,6071322.742000001
