commodity,value_bd
"( L ) Sections, Partailly-Worked, Under 80 Mm High",174686.264
"( T ) Sections, Partially-Worked, Under 80 Mm High",62815.06
"( T , L ) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",7587.858
"( T , L ) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",119848.839
"( U, I , H ) Sections, Partially-Worked, Under 80 Mm High",72662.997
"(H) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",351401.499
"(H) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",628751.441
"(Headgear(Ghuttra) Printed In Form Of Shimagh, Not Embroidered",43242.057
"(I) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",438097.964
"(I) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",363612.648
"(U) Sections, Partially-Worked, Of A Height Exceeding 220 Mm",59988.775
"(U) Sections, Partially-Worked, Of A Height Of 80 Mm Or More, But Not Exceeding 220 Mm",823956.163
0Henolic Resins,84828.389
"1,1,1 Tricloroethene (Chloroform Methane)",1391.02
"1,1,1,2,3,3,3-Heptafluoropropane (Hfc-227Ea), 1,1,1,2,2,3-Hexafluoropropane (Hfc-236Cb), 1,1,1,2,3,3-Hexafluoropropane (Hfc-236Ea) And 1,1,1,3,3,3-Hexafluoropropane (Hfc-236Fa)",35345.016
"1,1,1,2-Tetrafluoroethane (Hfc-134A) And 1,1,2,2-Tetrafluoroethane (Hfc-134)",229343.308
1-Cyanoguanidine (Dicyandiamide),356.47299999999996
2 Almanisiom,1190.03
2'2-Diphynyl-2-Hydroxyacetic Acid (Benzilic Acid ),2795.64
"2,2'-Oxydiethanol",552280.568
"2,3,3,3-Tetrafluoropropene (Hfo-1234Yf), 1,3,3,3-Tetrafluoropropene (Hfo-1234Ze) And (Z)-1,1,1,4,4,4-Hexafluoro-2-Butene (Hfo-1336Mzz)",8353.109
"2,4,6  -Tripropyl - 1,3,5,2,4,6, Trioxa Triphosphinan (In A Solvent).",58904.663
"2-(N,N-Dipropylamino)Ethanol",147.783
"2-Ethyl-2-(Hydroxymethyl) Propane-1,3-Diol",170.93
4-Methylpentan-2-One,7148.63
Abayas  85 Percent Or More Combed Wool Over 200 G/M2,69.0
"Abayas  85 Percent Or More Wool, Animal Hair, Over 300 G/M2",140.524
"Abayas  Of 85 Percent Or More Combed Wool, Under 200 G/M2",26143.726
Abayas  Of Carded Wool And Manmade Staple Fibers,602.483
Abayas  Of Carded Wool And Other Materials,2681.94
Abayas  Of Combed Wool And Manmade Filaments,2931.78
Abayas  Of Combed Wool And Other Materials,1438.1570000000002
Abayas  Of Wool Or Fine Animal Hair,2484.858
Abrasive Grain On A Base Of Other Materials,439794.802
Abrasive Grain On A Base Of Paper Or Paperboard Only,451275.644
Abrasive Grain On A Base Of Woven Textile Fabric Only,126674.675
Ac Generators Not Exceeding 75 Kva Output,92331.732
Ac Generators Over 375 Kva To 750 Kva Output,117379.688
Ac Generators With Output Over 75 Kva To 375 Kva,276185.719
Ac Generators With Output Over 750 Kva,78630.326
Acetic Acid Denatured And Unusable As Vinegar,8584.927
Acetic Acid Useable As Vinegar,22558.065
Acetone,27675.05
Acid Dyes And Preparations Based Thereon,31898.131
Acrylic Acid And Its Salts,105413.927
Acrylic Mixed Mainly With Manmade Filaments,65739.288
Acrylic Mixed Mainly With Other Fabrics,5230.2880000000005
Acrylic Mixed Mainly With Wool Or Fine Animal Hair,374.2
Acrylic Mixed Mainly With Wool Or Fine Animal Hair 85 Percent Or More By Weight Not For Retail Sale,74.07
"Acrylic Or Modacrylic Fibers, Not For Spinning",371.55
Acrylic Or Modacrylic Synthetic Filament Tow,644.5360000000001
Acrylonitrile-Butadiene-Styrene (Abs) Copolymers,46917.312
Activated Carbon,169182.52000000002
"Activated Coal For Deodorizing Refrigerators, Etc.",55772.665
Active Yeasts,551093.301
