year;hst_ltjr_lkhrjy_lsnwy;annual_foreign_trade_statistics;value_million_bd
2010;إعادة تصدير;Re_Exports;229.14
2010;إجمالي الصادرات;Total Exports;6282.3488422
2010;الواردات  النفطية;oil Imports;2514.17177644
2010;إجمالي الواردات;Total Imports;6328.043292519022
2010;الميزان التجاري للبيانات الغير النفطية;Trade balance;-1857.3915160790211
2011;إعادة تصدير;Re_Exports;342.27553405850256
2011;إجمالي الصادرات;Total Exports;8462.376427922833
2011;الميزان التجاري للبيانات الغير النفطية;Trade balance;-1187.5917957431566
2012;الصادرات الغير نفطية;Non_oil Exports;2099.743571
2012;جملة الصادرات  الوطنية;Total of National Origin Exports;7938.255350736
2012;الواردات  النفطية;oil Imports;3358.00769716
2012;التبادل التجاري;Trade Exchange;15823.733047896001
2013;إجمالي الصادرات;Total Exports;9227.723417732006
2013;الواردات  الغير نفطية;Non_Oil Imports;3773.8770428234775
2014;جملة الصادرات  الوطنية;Total of National Origin Exports;7955.944483736484
2014;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;3169.1358744109843
2014;إجمالي الواردات;Total Imports;7408.976560457191
2014;التبادل التجاري;Trade Exchange;16137.175789708175
2015;إجمالي الواردات;Total Imports;6162.64067573983
2016;الصادرات  النفطية;Oil Exports;2337.9617602800004
2016;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;2520.3225516529615
2016;إجمالي الصادرات;Total Exports;4858.284311932963
2016;الواردات  النفطية;oil Imports;1183.435196032
2016;إجمالي الواردات;Total Imports;5545.451497953418
2017;الصادرات الغير نفطية;Non_oil Exports;2093.407524133265
2017;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;2618.7118729909753
2017;إجمالي الواردات;Total Imports;6538.983590197668
2017;التبادل التجاري;Trade Exchange;12376.661989124643
2018;إعادة تصدير;Re_Exports;514.6974011692475
2018;إجمالي الصادرات;Total Exports;6784.489294251991
2018;الواردات  الغير نفطية;Non_Oil Imports;5593.844003161979
2018;إجمالي الواردات;Total Imports;7744.686077577979
2018;الميزان التجاري;Trade Balance;-960.1967833259878
2018;التبادل التجاري;Trade Exchange;14529.17537182997
2019;إعادة تصدير;Re_Exports;794.872634724511
2019;الواردات  النفطية;oil Imports;2005.377770768
2019;الواردات  الغير نفطية;Non_Oil Imports;4984.103641306579
2019;الميزان التجاري;Trade Balance;-177.32532326621822
2019;الميزان التجاري للبيانات الغير النفطية;Trade balance;-1891.5459235686985
2019;التبادل التجاري;Trade Exchange;13801.637500882942
2020;جملة الصادرات  الوطنية;Total of National Origin Exports;4620.033169
2020;إعادة تصدير;Re_Exports;675.723917
2020;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;3062.8954620000004
2020;الميزان التجاري للبيانات الغير النفطية;Trade balance;-1734.7102369999993
2021;الصادرات الغير نفطية;Non_oil Exports;3993.603143
2021;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;4673.043815
2021;إجمالي الواردات;Total Imports;7098.245000640831
2021;التبادل التجاري;Trade Exchange;15508.83096439931
2022;الصادرات الغير نفطية;Non_oil Exports;4966.768646
2022;الصادرات  النفطية;Oil Exports;5665.9
2022;إعادة تصدير;Re_Exports;720.238844
2022;إجمالي الصادرات الغير النفطية;Total Non-Oil Export;5687.00749
2022;الواردات  الغير نفطية;Non_Oil Imports;5841.9
2022;إجمالي الواردات;Total Imports;8836.930665
2022;الميزان التجاري;Trade Balance;2515.9768249999997
2023;جملة الصادرات  الوطنية;Total of National Origin Exports;8574.099999999999
